School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Watkinson,Non-public,180 Bloomfield Avenue,Hartford,6105,Hartford,3.7,0.0,3.7
Weaver High School,Public,415 Granby Street,Hartford,6120,Hartford,0.3,0.0,0.3
West Middle School,Public,44 Niles Street,Hartford,6105,Hartford,0.0,0.0,0.0
Wish Museum School,Public,104 Vine Street,Hartford,6112,Hartford,0.0,0.0,0.0
CREC Montessori Magnet,Public,1460 Broad Street,Hartford,6085,Hartford,3.5,0.0,3.5
High Road School Of Hartford High School,Non-public,245 Locust St,Hartford,6114,Hartford,0.0,0.0,0.0
High Road School Of Hartford Primary/Middle,Non-public,757 New Britain Avenue,Hartford,6106,Hartford,2.9,0.0,2.9
Jumoke Academy,Public,250 Blue Hills Ave,Hartford,6112,Hartford,0.0,0.0,0.0
Oak Hill,Non-public,120 Holcomb St,Hartford,6029,Hartford,4.7,0.0,4.7
Harwinton Consolidated School,Public,115 Litchfield Road,Harwinton,6791,Litchfield,1.8,0.0,1.8
Gilead Hill School,Public,580 Gilead Street,Hebron,6248,Tolland,2.0,0.3,2.3
Hebron Elementary School,Public,92 Church Street,Hebron,6248,Tolland,4.2,0.3,4.5
Regional School District 8,Public,25 Rham Rd,Hebron,6248,Tolland,4.6,0.5,5.1
RHAM High School,Public,85 Wall St,Hebron,6248,New London,3.5,0.2,3.8
Burr Elementary,Public,792 Killingworth Road,Higganum,6441,Middlesex,3.6,0.0,3.6
Haddam-Killingworth High School,Public,95 Little City Rd,Higganum,6441,Middlesex,0.9,0.2,1.1
Griswold Elementary School,Public,303 Slater Ave,Jewett City,6351,New London,2.4,0.6,3.0
Mary E. Griswold Elementary School,Public,133 Heather Lane,Kensington,6037,Hartford,5.7,0.4,6.1
Saint Paul School,Non-public,461 Alling Street,Kensington,6037,Hartford,8.7,0.0,8.7
Kent Center School,Public,9 Judd Ave,Kent,6757,Litchfield,1.5,0.0,1.5
Kent School,Non-public,1 Macedonia Road,Kent,6757,Litchfield,0.0,0.2,0.2
Marvelwood School,Non-public,476 Skiff Mountain Road,Kent,6757,Litchfield,1.9,0.0,1.9
Killingly Intermidiate School,Public,1599 Upper Maple Street,Killingly,6241,Windham,2.9,0.3,3.2
Killingly Memorial School,Public,339 Main Street,Killingly,6239,Windham,4.5,0.6,5.1
Killingly High School,Public,226 Putnam Pike,Killingly,6239,Windham,2.0,0.5,2.6
Haddam-Killingworth Intermediate School,Public,451 Route 81,Killingworth,6419,Middlesex,1.2,0.4,1.5
Haddam-Killingworth Middle School,Public,451 Route 81,Killingworth,6419,Middlesex,2.0,0.0,2.0
Killingworth Elementary School,Public,340 Ct-81,Killingworth,6419,Middlesex,1.5,0.4,1.8
The Hotchkiss School,Non-public,11 Interlaken Road,Lakeville,6039,Litchfield,0.0,0.2,0.2
Lebanon Elementary School,Public,476 Exeter Rd,Lebanon,6249,New London,0.8,0.8,1.5
Lyman Memorial High School,Public,917 Exeter Road,Lebanon,6249,New London,3.7,0.0,3.7
Lebanon Middle School,Public,891 Exeter Road,Lebanon,6249,New London,6.4,0.0,6.4
Gallup Hill School,Public,169 Gallup Hill Road,Ledyard,6339,New London,0.5,0.0,0.5
Ledyard High School,Public,24 Gallup Hill Rd,Ledyard,6339,New London,0.5,0.0,0.5
Lisbon Central School,Public,109 Bergendahl Drive,Lisbon,6351,New London,1.8,0.2,2.1
Center School,Public,125 West Street,Litchfield,6759,Litchfield,4.6,0.4,4.9
Litchfield Intermediate School,Public,35 Plumb Hill Road,Litchfield,6759,Litchfield,7.4,0.0,7.4
Litchfield Middle/High School,Public,14 Plumb Hill Rd.,Litchfield,6759,Litchfield,2.7,0.3,3.0
Wamogo Regional School District 6,Public,98 Wamogo Rd,Litchfield,6759,Litchfield,3.1,0.6,3.7
Lyme Consolidated School,Public,478 Hamburg Rd,Lyme,6371,New London,1.4,0.0,1.4
Daniel Hand High School,Public,286 Green Hill Road,Madison,6443,New Haven,1.6,0.1,1.8
Grove School,Non-public,175 Copse Rd,Madison,6443,New Haven,0.0,0.0,0.0
Ryerson,Public,982 Durham Road,Madison,6443,New Haven,1.2,0.0,1.2
The Country School,Non-public,341 Opening Hill Road,Madison,6443,New Haven,1.9,0.0,1.9
Town Campus Learning Center,Public,10 Campus Drive,Madison,6443,New Haven,0.0,0.0,0.0
W.C. Polson Ms,Public,302 Green Hill Road,Madison,6443,New Haven,1.9,0.6,2.5
Jeffrey,Public,331 Copse Rd,Madison,6443,New Haven,1.6,0.3,1.9
Brown Intermediate School,Public,980 Durham Rd,Madisoon,6443,New Haven,5.1,0.0,5.1
Bennet Academy,Public,1151 Main Street,Manchester,6040,Hartford,0.5,0.1,0.6
Bentley Alternative Education,Public,134 Middle Turnpike East,Manchester,6040,Hartford,0.0,0.0,0.0
Bowers,Public,141 Princeton Street,Manchester,6042,Hartford,1.3,0.3,1.6
Community Child Guidance Clinic School,Non-public,317 North Main St,Manchester,6040,Hartford,0.0,0.0,0.0
Cornerstone Christian School,Non-public,236 Main St.,Manchester,6042,Hartford,4.8,0.6,5.4
East Catholic High School,Non-public,115 New State Road,Manchester,6042,Hartford,1.4,0.2,1.6
Great Path Academy,Public,60 Bidwell St,Manchester,6045,Hartford,0.0,0.6,0.6
Highland Park Elementary School,Public,397 Porter Street,Manchester,6040,Hartford,0.3,0.3,0.6
Illing Middle School,Public,227 East Middle Turnpike,Manchester,6040,Hartford,0.8,0.1,0.9
Keeney Street Elementary School,Public,179 Keeney Street,Manchester,6040,Hartford,0.9,0.0,0.9
Manchester High School,Public,134 East Middle Tpke.,Manchester,6040,Hartford,0.2,0.4,0.5
Manchester Memorial Hospital Clinical Day School,Non-public,71 Haynes St.,Manchester,6040,Hartford,5.0,0.0,5.0
Manchester Middle Academy,Public,94 Cedar Street,Manchester,6074,Hartford,0.0,0.0,0.0
Manchester Preschool Center,Public,60 Washington Street,Manchester,6042,Hartford,0.0,0.0,0.0
Manchester Regional Academy,Public,665 Wetherell St.,Manchester,6040,Hartford,0.0,0.0,0.0
Martin Elementary,Public,140 Dartmouth Rd.,Manchester,6040,Hartford,0.8,0.0,0.8
Odyssey Community School,Public,579 West Middle Tpke.,Manchester,6040,Hartford,1.4,0.0,1.4
Saint Bridget School,Non-public,74 Main St.,Manchester,6042,Hartford,0.5,0.0,0.5
Saint James School,Non-public,73 Park Street,Manchester,6040,Hartford,4.2,0.0,4.2
Verplanck,Public,126 Olcott St,Manchester,6066,Hartford,0.7,0.0,0.7
Waddell Elementary School,Public,163 Broad Street,Manchester,6042,Hartford,1.7,0.0,1.7
Buckley Elementary,Public,250 Vernon Street,Manchester,6042,Hartford,1.7,0.0,1.7
Oak Grove Montessori,Non-public,132 Pleasant Valley Road,Mansfield,6250,Tolland,6.4,0.0,6.4
Mansfield Elementary School,Public,134 Warrenville Rd,Mansfield Center,6250,Tolland,1.8,0.0,1.8
Elmer Thienes-Mary Hall Elementary,Public,25 School Dr.,Marlborough,6447,Hartford,3.7,0.0,3.7
Benjamin Franklin Elementary School,Public,426 West Main Street,Meriden,6450,New Haven,2.3,0.0,2.3
Casimir Pulaski,Public,100 Clearview Ave,Meriden,6450,New Haven,0.7,0.5,1.2
Edison Middle School,Public,1355 North Broad Street,Meriden,6450,New Haven,0.9,0.0,0.9
Francis T. Maloney High School,Public,121 Gravel Street,Meriden,6450,New Haven,0.5,0.2,0.6
Horace C Wilcox Technical High School,Public,298 Oregon Road,Meriden,6451,New Haven,1.6,0.1,1.7
Israel Putnam Elementary School,Public,133 Parker Ave,Meriden,6450,New Haven,1.8,0.4,2.2
John Barry Elementary,Public,124 Columbia Street,Meriden,6451,New Haven,1.6,0.0,1.6
Meliora Academy,Non-public,470 Murdock Ave,Meriden,6450,Hartford,11.5,3.8,15.4
Midstate Christian Academy,Non-public,139 Charles Strret,Meriden,6450,New Haven,44.3,0.0,44.3
Nathan Hale Elementary School,Public,277 Atkins St Ext.,Meriden,6450,New Haven,0.4,0.0,0.4
Orville H. Platt High School,Public,220 Coe Ave,Meriden,6451,New Haven,0.4,0.0,0.4
Roger Sherman,Public,64 North Pearl Street,Meriden,6450,New Haven,0.6,0.0,0.6
Thomas Hooker Elementary School,Public,70 Overlook Rd,Meriden,6450,New Haven,0.3,0.0,0.3
Long Meadow Elementary School,Public,65 N Benson Rd,Middlebury,6762,New Haven,2.9,0.4,3.3
Memorial Middle School,Public,1 Memorial Drive,Middlebury,6762,New Haven,2.4,0.0,2.4
Middlebury Elementary School,Public,550 Whittemore Rd.,Middlebury,6762,New Haven,1.9,0.0,1.9
John Lyman Elementary,Public,106 Way Road,Middlefield,6455,Middlesex,3.8,0.0,3.8
Middlefield Memorial School,Public,124 Hubbard Street,Middlefield,6455,Middlesex,4.7,0.0,4.7
The Independent Day School,Non-public,115 Laurel Brook Rd,Middlefield,6455,Middlesex,5.4,0.0,5.4
Beman Middle School,Public,1 Wildermans Way,Middletown,6457,Middlesex,0.2,0.0,0.2
Bielefield Elementary,Public,70 Maynard St,Middletown,6457,Middlesex,0.7,0.0,0.7
Farm Hill,Public,390 Ridge Rd,Middletown,6457,Middlesex,0.7,0.0,0.7
Macdonough Elementary School,Public,66 Spring Street,Middletown,6457,Middlesex,0.4,0.0,0.4
Mercy High School,Non-public,1740 Randolph Road,Middletown,6457,Middlesex,1.0,1.3,2.3
Middletown High School,Public,200 Larosa Lane,Middletown,6457,Middlesex,0.7,0.1,0.8
Snow Elementary School,Public,299 Wadsworth Street,Middletown,6457,Middlesex,0.0,0.0,0.0
Spencer Elementary,Public,206 Westfield St,Middletown,6457,Middlesex,0.4,0.4,0.8
St. John Paul Ii,Non-public,87 S. Main St,Middletown,6457,Middlesex,1.5,0.0,1.5
Van Buren Moody Elementary,Public,300 Country Club Road,Middletown,6457,Middlesex,0.9,0.4,1.3
Vinal Technical High School,Public,60 Daniels St,Middletown,6457,Middlesex,1.9,0.0,1.9
Wesley Elementary School,Public,10 Wesleyan Hills Rd,Middletown,6457,Middlesex,0.9,0.0,0.9
Xavier High School,Non-public,181 Randolph Road,Middletown,6457,Middlesex,2.4,0.0,2.4
Lawrence Elementary,Public,Kaplan Drive,Middletown,6457,Middlesex,0.3,0.0,0.3
"Academy Of Our Lady Of Mercy, Lauralton Hall",Non-public,200 High St.,Milford,6460,New Haven,1.8,0.4,2.2
Calf Pen Meadow,Public,395 Welch'S Point Road,Milford,6460,New Haven,6.4,0.4,6.8
Charles F. Hayden School,Non-public,528 Wheelers Farms Rd,Milford,6460,Fairfield,0.0,0.0,0.0
East Shore Middle School,Public,240 Chapel Street,Milford,6460,New Haven,3.9,0.0,3.9
Harborside Middle School,Public,175 High Street,Milford,6460,New Haven,4.2,0.0,4.2
John F. Kennedy School,Public,404 West Avenue,Milford,6461,New Haven,3.2,0.6,3.8
Jonathan Law Hs,Public,25 Lansdale Ave,Milford,6460,New Haven,1.7,0.1,1.8
Joseph A. Foran High School,Public,80 Foran Road,Milford,6460,New Haven,1.4,0.3,1.7
Live Oaks,Public,575 Merwin Avenue,Milford,6460,New Haven,2.8,0.0,2.8
Meadowside Elementary School,Public,80 Seemans Lane,Milford,6460,New Haven,1.5,0.4,1.9
Milestones Behavioral Services,Non-public,95 Wolf Harbor Rd,Milford,6461,New Haven,13.3,1.7,15.0
Orange Avenue School,Public,260 Orange Avenue,Milford,6461,New Haven,1.7,0.0,1.7
Orchard Hills School,Public,185 Marino Drive,Milford,6460,New Haven,2.0,0.6,2.5
Platt Technical High School,Public,600 Orange Avenue,Milford,6460,New Haven,0.3,0.1,0.4
Pumpkin Delight Elementary School,Public,24 Art Street,Milford,6460,New Haven,2.6,0.4,3.0
St. Mary'S School,Non-public,72 Gulf Street,Milford,6460,New Haven,5.5,0.3,5.8
The Academy,Public,140 Gulf St.,Milford,6460,New Haven,0.0,0.0,0.0
The Foundation School,Non-public,91 Woodmont Road,Milford,6460,New Haven,,,
West Shore Middle School,Public,70 Kay Avenue,Milford,6460,New Haven,0.9,0.0,0.9
Mathewson,Public,466 W River Street,Milford,6461,New Haven,2.2,0.0,2.2
Fawn Hollow Elementary School,Public,345 Fan Hill Road,Monroe,6468,Fairfield,3.9,0.3,4.2
Jockey Hollow Middle School,Public,365 Fan Hill Rd,Monroe,6468,Fairfield,4.9,0.2,5.0
Masuk High School/Jockey Hollow Stem,Public,1040 Monroe Turnpike,Monroe,6468,Fairfield,4.1,0.5,4.6
Stepney Elementary School,Public,180 Old Newtown Rd,Monroe,6468,Fairfield,2.6,0.2,2.9
PBL & Pathways Campus,Public,238 Maple Avenue,Montville,6353,New London,3.2,0.0,3.2
East Haddam Elementary School,Public,45 Joe Williams Road,Moodus,6469,Middlesex,1.2,0.3,1.5
Nathan Hale-Ray Middle School,Public,73 Clark Gates Rd,Moodus,6469,Middlesex,4.5,1.6,6.1
Moosup Elementary School,Public,35 Church Street,Moosup,6354,Windham,4.7,0.7,5.3
James Morris School,Public,10 East Street,Morris,6763,Litchfield,1.6,0.0,1.6
Mystic River Magnet School,Public,160 Fishtown Rd,Mystic,6355,New London,1.7,0.0,1.7
Stonington Middle School,Public,204 Mistuxet Avenue,Mystic,6355,New London,3.2,0.3,3.4
Northeast Academy,Public,115 Oslo Street,Mystic,6355,New London,0.5,0.0,0.5
Andrew Ave. Elementary School,Public,140 Andrew Ave,Naugatuck,6770,New Haven,1.2,0.0,1.2
Central Avenue Preschool,Public,28 Central Avenue,Naugatuck,6770,New Haven,0.0,0.0,0.0
City Hill Middle School,Public,441 City Hill Street,Naugatuck,6770,New Haven,1.7,0.0,1.7
Cross Street Intermediate School,Public,120 Cross Street,Naugatuck,6770,New Haven,1.2,0.0,1.2
Hillside Intermediate,Public,51 Hillside Ave,Naugatuck,6770,New Haven,0.6,0.6,1.2
Hop Brook Elementary School,Public,75 Crown Street,Naugatuck,6770,New Haven,0.9,0.0,0.9
Naugatuck High School,Public,543 Rubber Ave,Naugatuck,6770,New Haven,1.2,0.0,1.2
Salem Elementary School,Public,124 Meadow Street,Naugatuck,6770,New Haven,1.2,0.4,1.6
Western Elemantry School,Public,100 Pine St,Naugatuck,6770,New Haven,2.2,0.0,2.2
Maple Hill Elementary School,Public,641 Maple Hill Rd,Naugatuck,6770,New Haven,2.2,0.0,2.2
CREC Academy of Science and Innovation,Public,600 Slater Road,New Britain,6053,Hartford,1.3,0.0,1.3
Diloreto,Public,732 Slater Road,New Britain,6053,Hartford,0.2,0.0,0.2
E.C. Goodwin Technical High School,Public,735 Slater Road,New Britain,6053,Hartford,0.5,0.2,0.6
Gaffney,Public,322 Slater Rd,New Britain,6053,Hartford,0.7,0.0,0.7
Holmes Elementary School,Public,2150 Stanley St,New Britain,6053,Hartford,0.8,0.0,0.8
Jefferson Elementary School,Public,140 Horse Plain Road,New Britain,6053,Hartford,2.6,0.0,2.6
Lincoln Elementary,Public,145 Steele St. 06052,New Britain,6052,Hartford,0.7,0.0,0.7
New Britain High School,Public,110 Mill St,New Britain,6051,Hartford,0.6,1.1,1.8
New Britain Transitional Center,Public,183 Steele Street,New Britain,6052,Hartford,0.0,0.0,0.0
Northend Elementary School,Public,160 Bassett Street,New Britain,6051,Hartford,0.0,1.7,1.7
Pulaski Middle School,Public,757 Farmington Avenue,New Britain,6053,Hartford,0.7,0.0,0.7
Raymond Hill School,Non-public,334 Linwood Street,New Britain,6052,Hartford,0.0,0.0,0.0
Roosevelt Early Learning Center,Public,40 Goodwin Street,New Britain,6051,Hartford,0.6,0.0,0.6
Slade Middle School,Public,183 Steele St.,New Britain,6052,Hartford,0.0,0.0,0.0
Smalley Elementary School,Public,175 West Street,New Britain,6051,Hartford,0.7,0.0,0.7
Smith Elementary School,Public,142 Rutherford St,New Britain,6051,Hartford,0.8,0.2,1.0
Vance,Public,183 Vance St,New Britain,6052,Hartford,0.2,0.0,0.2
Brookside School,Public,505 South Main St.,New Britain,6051,Hartford,0.0,0.0,0.0
Chamberlain Elementary School,Public,221 Farmington Ave.,New Britain,6053,Hartford,0.8,0.0,0.8
East Elementary School,Public,54 Little Brook Road,New Canaan,6840,Fairfield,2.9,0.0,2.9
South,Public,8 Farm Road,New Canaan,6840,Fairfield,2.8,0.2,3.0
West School,Public,469 Ponus Ridge Rd,New Canaan,6840,Fairfield,2.1,0.4,2.5
New Canaan High School,Public,11 Farm Road,New Canaan,6840,Fairfield,2.8,0.2,2.9
Saxe Middle School,Public,468 South Avenue,New Canaan,6840,Fairfield,2.6,0.3,2.9
Consolidated School,Public,24A Gillotti Rd,New Fairfield,6812,Fairfield,1.2,0.6,1.8
Meeting House Hill School,Public,24 Gillotti Rd,New Fairfield,6812,Fairfield,1.3,0.2,1.5
New Fairfield High School,Public,54 Gillotti Road,New Fairfield,6812,Fairfield,0.9,0.0,0.9
New Fairfield Middle School,Public,56 Gillotti Rd,New Fairfield,6812,Fairfield,1.4,0.0,1.4
Ann Antolini School,Public,30 Antolini Road,New Hartford,6057,Litchfield,4.5,0.4,4.9
Bakerville School,Public,51 Cedar Lane,New Hartford,6057,Litchfield,1.9,0.0,1.9
New Hartford Elementary School,Public,40 Wickett St,New Hartford,6057,Litchfield,5.4,0.0,5.4
Montessori School Of Greater Hartford New Hartford Adolescent Program,Non-public,741 Steele Rd,New Hartford,6057,Litchfield,,,
All Saints Catholic Academy,Non-public,423 Ferry St,New Haven,6513,New Haven,0.0,0.0,0.0
Amistad Academy Elementary School,Public,130 Edgewood Ave,New Haven,6511,New Haven,0.4,0.0,0.4
Amistad Academy Middle School,Public,130 Edgewood Ave,New Haven,6511,New Haven,0.3,0.0,0.3
Augusta Lewis Troup School,Public,259 Edgewood Avenue,New Haven,6511,New Haven,0.0,3.0,3.0
Barack H Obama Magnet University,Public,69 Farnham Avenue,New Haven,6515,New Haven,1.8,0.3,2.1
Barnard Environmental Science And Technology School,Public,170 Derby Avenue,New Haven,6511,New Haven,0.7,0.0,0.7
Benjamin Jepson Magnet School,Public,15 Lexington Ave,New Haven,6513,New Haven,0.0,0.0,0.0
Betsy Ross Arts Manet School,Public,150 Kimberly Avenue,New Haven,6519,New Haven,0.6,0.0,0.6
Bishop Woods School,Public,1481 Quinnipiac Avenue,New Haven,6513,New Haven,0.0,0.0,0.0
Booker T. Washington Academy,Public,804 State Street,New Haven,6511,New Haven,0.7,0.0,0.7
Celentano Biotech Health And Medical Magnet School,Public,400 Canner St,New Haven,6511,New Haven,0.0,0.0,0.0
Clinton Avenue School,Public,293 Clinton Avenue,New Haven,6513,New Haven,0.0,0.0,0.0
Cold Spring School,Non-public,263 Chapel Street,New Haven,6513,New Haven,1.3,0.0,1.3
Conte West Hills Magnet School,Public,511 Chapel St,New Haven,6511,New Haven,1.4,0.2,1.5
Coop Arts And Humanities High Sch.,Public,177 College St.,New Haven,6510,New Haven,0.4,0.7,1.1
Davis Academy For Arts And Design Innovation,Public,35 Davis Street,New Haven,6515,New Haven,1.5,0.0,1.5
Edgewood,Public,737 Edgewood Avenue,New Haven,6515,New Haven,1.0,0.2,1.2
Elm City Montessori School,Public,495 Blake Street,New Haven,6515,New Haven,2.5,0.0,2.5
Fair Haven School,Public,164 Grand Avenue,New Haven,6513,New Haven,0.1,0.0,0.1
Family Academy Of Multilingual Exploration,Public,255 Blatchley Ave,New Haven,6513,New Haven,0.6,0.0,0.6
High School In The Community,Public,175 Water Street,New Haven,6511,New Haven,0.0,0.0,0.0
Highville Charter School,Public,1 Science Park,New Haven,6511,New Haven,1.2,0.4,1.6
Hill Regional Career High School,Public,140 Legion Ave.,New Haven,6519,New Haven,0.0,0.2,0.2
Hopkins School,Non-public,986 Forest Road,New Haven,6515,New Haven,0.0,0.1,0.1
James Hillhouse Comprehensive High School,Public,480 Sherman Parkway,New Haven,6511,New Haven,0.0,0.1,0.1
John C Daniels,Public,569 Congress Ave,New Haven,6511,New Haven,0.6,0.0,0.6
John S. Martinez Sea And Sky,Public,100 James Street,New Haven,6513,New Haven,0.0,0.6,0.6
Lincoln Bassett Community School,Public,130 Bassett St.,New Haven,6511,New Haven,0.0,0.4,0.4
Mauro Sheridan,Public,191 Fountain St,New Haven,6511,New Haven,0.4,0.0,0.4
Metropolitan Business Academy,Public,115 Water Street,New Haven,6511,New Haven,0.5,1.0,1.5
New Haven Academy,Public,444 Orange Street,New Haven,6511,New Haven,0.3,0.0,0.3
Riverside,Public,103 Hallock Ave,New Haven,6511,New Haven,0.0,0.0,0.0
Roberto Clemente School,Public,360 Columbus Ave,New Haven,6519,New Haven,0.0,0.0,0.0
Ross Woodward Classical Magnet School,Public,185 Barnes Ave,New Haven,6513,New Haven,0.7,0.2,0.8
Sound,Public,60 S Water St,New Haven,6519,New Haven,0.6,0.6,1.2
St Thomas'S Day School,Non-public,830 Whitney Avenue,New Haven,6511,New Haven,1.7,0.0,1.7
The Foote School,Non-public,50 Loomis Place,New Haven,6511,New Haven,0.9,0.5,1.4
Truman,Public,114 Truman,New Haven,6518,Fairfield,0.0,3.7,3.7
Wexler Grant Community School,Public,55 Foote St.,New Haven,6511,New Haven,0.7,0.4,1.1
Wilbur Cross High Schol,Public,181 Mitchell Dr,New Haven,6511,New Haven,0.2,0.2,0.4
Brennan-Rogers Magnet School,Public,199 Wilton Rd.,New Haven,6515,New Haven,0.0,1.6,1.6
East Rock Community And Cultural Studies Magnet School,Public,133 Nash Street,New Haven,6511,New Haven,0.0,0.0,0.0
Elm City Elementary And Middle,Public,407 James Street,New Haven,6516,New Haven,0.7,0.0,0.7
Hill Central,Public,140 Dewitt Street,New Haven,6109,New Haven,0.2,0.0,0.2
King Robinson School,Public,150 Fournier St,New Haven,6511,New Haven,0.0,0.0,0.0
L.W Beecher Magnet School,Non-public,100 Jewell St.,New Haven,6515,New Haven,0.6,0.0,0.6
Nathan Hale School,Public,480 Townsend Ave,New Haven,6512,New Haven,0.5,0.0,0.5
Bennie Dover Jackson Middle School,Public,36 Waller Street,New London,6320,New London,0.3,0.5,0.9
CB Jennings Elementary School,Public,50 Mercer St,New London,6320,New London,0.0,0.0,0.0
Early Childhood Center At Bp Mission,Public,40 Shaw St,New London,6320,New London,0.0,0.0,0.0
Harbor Elementary,Public,432 Montauk Ave,New London,6320,New London,0.4,0.8,1.2
Interdistrict School For Arts & Communication,Public,190 Governor Winthrop Blvd,New London,6320,New London,1.8,0.0,1.8
Nathan Hale Arts Magnet School,Public,37 Beech Drive,New London,6320,New London,2.1,0.0,2.1
New London Multi-Magnet,Public,20 Chester Ave,New London,6320,New London,0.2,0.0,0.2
Ocean Avenue Learning Academy,Public,660 Ocean Avenue,New London,6320,New London,0.0,0.0,0.0
St Joseph,Non-public,25 Squire St,New London,6320,New London,0.0,0.0,0.0
The Williams School,Non-public,182 Mohegan Ave,New London,6320,New London,3.9,0.6,4.5
Winthrop STEM Elementary School,Public,70 Grove Street,New London,6320,New London,1.2,0.0,1.2
Regional Multicultural Magnet School,Public,1 Bulkeley Place,New London,6320,New London,1.0,1.0,2.1
Canterbury School,Non-public,101 Aspetuck Ave,New Milford,6776,Litchfield,1.5,0.0,1.5
Hill And Plain Elementary School,Public,60 Old Town Park Rd,New Milford,6776,Litchfield,1.0,0.0,1.0
New Milford High School,Public,388 Danbury Rd,New Milford,6776,Litchfield,1.2,1.0,2.2
Northville Elementary,Public,22 Hipp Road,New Milford,6776,Litchfield,1.5,0.2,1.8
Sarah Noble Intermediate School,Public,25 Sunny Valley Rd,New Milford,6776,Litchfield,2.9,0.1,3.0
Schaghticoke Middle School,Public,23 Hipp Road,New Milford,6776,Litchfield,1.0,0.6,1.6
Washington Montessori School,Non-public,240 Litchfield Turnpike,New Preston,6069,Litchfield,7.2,2.8,10.0
Anna Reynolds Elementary,Public,85 Reservoir Road,Newington,6111,Hartford,2.6,0.0,2.6
Elizabeth Green Elementary School,Public,30 Thomas Street,Newington,6111,Hartford,0.7,0.4,1.1
Emmanuel Christian Academy,Non-public,569 Maple Hill Ave.,Newington,6111,Hartford,35.1,0.0,35.1
John Paterson Elementary School,Public,120 Church Street,Newington,6111,Hartford,1.8,0.2,2.0
Newington High School,Public,605 Willard Ave,Newington,6111,Hartford,0.6,0.0,0.6
Ruth Chaffee Elementary School,Public,160 Superior Avenue,Newington,6067,Hartford,1.2,0.0,1.2
John Wallace Middle School,Public,71 Halleran Drive,Newington,6111,Hartford,0.7,0.0,0.7
Fraser Woods Montessori School,Non-public,173 South Main Street,Newtown,6471,Fairfield,3.1,2.3,5.4
Hawley School,Public,29 Church Hill Rd,Newtown,6470,Fairfield,4.1,0.7,4.8
Head O' Meadow,Public,94 Boggs Hill Rd.,Newtown,6470,Fairfield,0.8,0.3,1.0
Housatonic Valley Waldorf School,Non-public,40 Dodgingtown Road,Newtown,6470,Fairfield,33.9,1.8,35.7
Micclde Gate Elementary,Public,7 Cold Spring Road,Newtown,6470,Fairfield,3.2,0.0,3.2
Newtown Middle School,Public,11 Queen St,Newtown,6472,Fairfield,3.5,0.5,3.9
Reed Intermediate School,Public,3 Trades Lane,Newtown,6470,Fairfield,4.0,0.2,4.1
Saint Rose School,Non-public,40 Church Hill Road,Newtown,6470,Fairfield,4.6,0.4,5.0
East Lyme Middle School,Public,31 Society Road,Niantic,6357,New London,1.3,0.7,2.0
Lighthouse Vocational Education Center,Non-public,15 Liberty Way,Niantic,6357,New London,,,
Lillie B Haynes Elementary,Public,29 Society Road,Niantic,6357,New London,1.0,0.2,1.2
Niantic Center School,Public,7 W. Main St,Niantic,6357,New London,0.9,0.0,0.9
Botelle School,Public,128 Greenwoods East,Norfolk,6058,Litchfield,0.0,0.0,0.0
Jerome Harrison Elementary School,Public,335 Foxon Road,North Branford,6471,New Haven,2.8,0.0,2.8
North Branford High School,Public,49 Caputo Rd,North Branford,6471,New Haven,3.1,0.0,3.1
North Branford Middle School,Public,654 Foxon Road,North Branford,6471,New Haven,4.9,0.0,4.9
Thompson Public Schools,Public,785 Riverside Drive,North Grosvenordale,6255,Windham,1.8,0.0,1.8
ACES Mill Academy,Non-public,295 Mill Road,North Haven,6473,New Haven,0.0,0.0,0.0
Aces Village School,Public,31 Temple Street,North Haven,6473,New Haven,0.7,0.7,1.4
Clintonville Elementary School,Public,456 Clintonville Road,North Haven,6473,New Haven,0.8,0.0,0.8
Montowese Elementary,Public,145 Fitch Street,North Haven,6473,New Haven,0.0,0.0,0.0
North Haven High School,Public,221 Elm Street,North Haven,6473,New Haven,0.6,0.3,0.9
North Haven Middle School,Public,55 Bailey Rd,North Haven,6492,New Haven,1.0,0.3,1.2
Ridge Road Elementary School,Public,1341 Ridge Road,North Haven,6514,New Haven,1.0,0.2,1.2
Green Acres Elementary School,Public,146 Upper State Street,North Haven,6473,New Haven,0.5,0.2,0.7
North Stonington Christian Academy,Non-public,12 Stillman Road,North Stonington,6359,New London,,,
North Stonington Elementary School,Public,298 Norwich Westerly Road,North Stonington,6359,New London,3.2,0.0,3.2
Wheeler High School,Public,297 Norwich - Westerly Road,North Stonington,6359,New London,4.1,0.0,4.1
Wheeler Middle School,Public,297 Norwich Westerly Road,North Stonington,6359,New London,2.4,0.0,2.4
C.H. Barrows Stem Academy,Public,141 Tuckie Road,North Windham,6256,Windham,2.0,0.0,2.0
North Windham School,Public,112 Jordan Lane,North Windham,6256,Windham,0.2,0.0,0.2
Totoket Valley Elementary School,Public,1388 Middletown Ave.,Northford,6471,New Haven,4.0,0.0,4.0
Anchor Academy Dba Regina Pacis Academy,Non-public,8 Leonard Street,Norwalk,6850,Fairfield,8.0,0.0,8.0
Brien Mcmahon High School,Public,300 Highland Avenue,Norwalk,6854,Fairfield,1.0,0.3,1.3
Brookside Elementary,Public,382 Highland Avenue,Norwalk,6824,Fairfield,2.1,0.0,2.1
Concord Magnet School,Public,21 Hunter'S Lane,Norwalk,6850,Fairfield,2.8,0.0,2.8
