School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Tyrrell Middle School,Public,500 Todd Road,Wolcott,6716,New Haven,0.4,0.0,0.4
Wakelee Elementary School,Public,12 Hemplel Drive,Wolcott,6716,New Haven,0.8,0.0,0.8
Wolcott High School,Public,457 Bound Line Road,Wolcott,6716,New Haven,0.9,0.0,0.9
Nonnewaug High School,Public,5 Minortown Rd,Woobury,6798,Litchfield,3.9,0.3,4.1
Amity Region High School,Public,25 Newton Road,Woodbridge,6525,New Haven,0.8,0.2,1.0
Beecher Road School,Public,40 Beecher Road,Woodbridge,6525,New Haven,3.8,0.0,3.8
Ezra Academy,Non-public,75 Rimmon Road,Woodbridge,6525,New Haven,0.0,0.0,0.0
Mitchell Elementary School,Public,14 School Street,Woodbury,6798,Litchfield,4.1,0.0,4.1
Woodbury Middle School,Public,67 Washington Avenue,Woodbury,6798,Litchfield,3.3,0.0,3.3
Woodstock Academy,Public,57 Academy Road,Woodstock,6281,Windham,1.2,0.1,1.3
Woodstock Elementary School,Public,24 Frog Pond Road,Woodstock,6281,Windham,2.8,0.5,3.3
Woodstock Middle School,Public,147B Rte169,Woodstock,6281,Windham,2.9,0.9,3.8
